Treatment	Type	IFNg	CXCL1	TNFa	CCL2	IL12	CCL5	IL1b	CXCL10	GMCSF	IL10	IFNb	IFNa	IL6
cG_3	single	7.48	184.6	4183.2	406.93	10.57	3745.2	3.9	56072.6	16.63	8.84	2053.6	291.54	718.6
PL_3	pair	13.53	9648	33547	298.25	1035.05	9999.4	131.25	94234.2	79.33	837.06	563.4	159.94	66433
PH_3	pair	20.24	11511.8	22325.6	136.19	230.72	7116.8	96.42	46986.8	113.67	434.82	334.2	158.35	32665
PZ_3	pair	4.46	9239	19442.6	109.15	16.67	1981.2	149.285	2445.4	65.15	1505.98	183.2	28.60	10616
PS_3	pair	8.34	6377.8	26754	307.46	212.83	5820	110.425	64383	66.03	454.57	3003	3727.11	49368
PcG_3	pair	9.18	8449	92935.6	873.73	583.14	8750.4	335.165	84462.4	69.10	884.48	6153.4	341.57	80821.8
LH_3	pair	75.07	5078.2	13150	309.76	139.11	11556.6	114.66	112318.2	174.55	269.29	491.4	84.24	25020.4
LZ_3	pair	4.23	5762.2	28979.4	392.10	36.93	7220.2	124.85	57166.6	22.56	1031.14	1444.4	87.97	15861.8
LS_3	pair	6.31	3490.8	9930.8	343.86	185.46	7175.6	111.635	89394.8	52.20	286.56	1944.2	1760.11	19021.4
LcG_3	pair	8.31	4899	22590.8	688.26	773.33	7889.2	580.175	78567.6	60.73	681.02	1389.6	205.96	34120.8
HZ_3	pair	6.87	2928.2	20929.4	121.36	12.41	2393.4	17.535	30581.8	65.62	134.65	227.8	8.33	1215.4
HS_3	pair	31.37	184.6	1768.8	223.63	12.12	3161.4	6.575	64324.8	103.77	24.85	3010.8	4057.06	976.6
HcG_3	pair	43.55	308.8	7036.8	386.08	17.34	5279.8	4.045	79177.2	129.29	16.18	2472.8	215.53	1160.2
ZS_3	pair	1.96	2773.4	21315	145.92	14.26	2369.4	8.65	38305.2	16.63	53.06	1689	1705.98	2781.6
ZcG_3	pair	4.27	2191.2	40881.6	374.25	21.90	5564	201.86	50301.2	17.19	283.78	13147.2	642.77	5566.4
ScG_3	pair	1.96	68.2	5407	377.93	6.77	4232.2	4.045	64301.6	16.63	8.84	4996	2031.42	533.8
PLH_3	triplet	47.05	7048.6	27798.4	405.05	1204.88	10195	298.19	94802.4	172.11	1075.00	571.8	231.99	45885.8
PLZ_3	triplet	9.00	7369.2	41276.6	514.38	142.18	7939	131.495	58883.4	69.70	2187.07	1178	109.17	30438.8
PLS_3	triplet	9.20	6953	26497.2	375.58	936.69	8047.6	157.79	88799	60.30	797.41	2304.6	1527.95	53958.2
PLcG_3	triplet	18.07	8970.6	52611.6	859.04	1692.03	8755.4	948.995	80000.6	78.05	1718.14	2509.8	222.89	63832.2
PHZ_3	triplet	10.98	13913.6	47535	279.01	32.50	6069.2	171.37	30977.8	90.07	1516.44	202.4	63.25	22803.6
PHS_3	triplet	43.55	9684	37358	371.68	395.76	8891	275.78	88565	143.39	584.95	2424.2	2618.62	56430.8
PHcG_3	triplet	49.88	7081.6	58600	1091.01	1007.25	8814	1069.38	80449.8	147.59	2044.86	3461	584.24	56663.6
PZS_3	triplet	12.46	8738.2	30967.8	438.29	31.93	2917	140.32	27411.2	75.20	1633.47	435.8	593.10	16894.6
PZcG_3	triplet	7.72	7166.4	58566.4	797.27	73.04	5703.6	605.12	48106	63.38	2083.81	5802.6	246.15	31876
PScG_3	triplet	11.70	5957.6	48198.4	904.15	577.45	6923.2	530.29	77024.6	82.29	801.08	5315.4	1267.49	48388.6
LHZ_3	triplet	21.34	6111	29883.4	516.36	42.53	8670.4	121.865	72364.2	115.17	1162.50	1148.4	110.78	14147.4
LHS_3	triplet	67.89	3464.6	10790.4	431.17	192.91	9872.8	185.61	103392	170.61	343.73	1490	1803.92	18019.4
LHcG_3	triplet	53.23	4618	19687.8	679.31	608.60	8523.6	770.765	82707	156.79	690.17	963.8	186.85	26564.2
LZS_3	triplet	4.04	5377	27050.6	507.73	41.63	6192.4	134.655	50144.6	37.73	1210.48	1514.2	378.36	12488.6
LZcG_3	triplet	11.13	5953.8	36555.8	710.55	97.69	6807.2	1030.625	44814.4	51.46	1974.75	5451.6	191.66	17429.4
LScG_3	triplet	21.90	5153.6	22790.2	777.60	579.09	8441	744.825	93039.2	70.71	576.84	5796.8	961.37	30046.6
HZS_3	triplet	9.38	2410.4	16382.4	162.87	12.61	4145.4	3.9	32335.4	52.03	74.09	1536	1525.97	1927.2
HZcG_3	triplet	16.56	2088.2	39929.8	400.05	26.11	6531	176.605	63195.2	74.66	254.38	15774.8	985.55	4308.2
HScG_3	triplet	28.96	144.4	4891.6	298.10	11.23	4728.6	3.9	73273.4	101.66	37.90	2779.8	1004.65	521
ZScG_3	triplet	3.12	1496.4	24247	335.45	13.23	3813.4	167.91	36163.8	16.63	173.98	8160	818.23	2339.8
Ctrl_7	Ctrl	2.10	154.4	39.6	19.52	3.72	180.4	3.9	1205	16.63	8.84	141.4	8.33	44.6
Ctrl_8	Ctrl	1.96	105.2	39.6	13.42	6.02	369.2	3.9	1565.8	16.63	8.84	95	8.33	44.6
Ctrl_9	Ctrl	1.96	160.6	39.6	12.95	7.29	234.6	3.9	1848.2	16.63	8.84	95	8.33	44.6
