Treatment	Type	Cytokine	E10_1_norm	E10_2_norm	E12_1_norm	E12_2_norm	E21_1_norm	E21_2_norm	AVG	SD	SEM
ZS	Pair	Viability	NA	NA	NA	NA	NA	NA	75.31881025	7.330308666	1.727770322
ZcG	Pair	Viability	NA	NA	NA	NA	NA	NA	81.27576168	6.318522815	1.48929011
HcG	Pair	Viability	NA	NA	NA	NA	NA	NA	87.95059012	6.546232992	1.542961913
HZ	Pair	Viability	NA	NA	NA	NA	NA	NA	86.34896069	7.771502659	1.831760743
PLCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	87.27360851	7.595007981	2.029851265
LSCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	85.40434737	5.095894185	1.361935009
LHS	Triplet	Viability	NA	NA	NA	NA	NA	NA	90.35342498	4.210264203	0.99236879
LHCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	81.58459434	10.51952631	2.811461665
LcGCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	78.671175	6.726317112	1.797683865
PLZ	Triplet	Viability	NA	NA	NA	NA	NA	NA	58.78977349	8.556467193	2.016778658
ScGCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	80.83972145	5.956894824	1.592047109
PLS	Triplet	Viability	NA	NA	NA	NA	NA	NA	72.45431171	10.34806899	2.439063252
LScG	Triplet	Viability	NA	NA	NA	NA	NA	NA	85.12502894	3.63888909	0.857694384
PSCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	78.40359278	8.725351597	2.331948304
LHcG	Triplet	Viability	NA	NA	NA	NA	NA	NA	88.32232269	4.248081612	1.001282438
LZCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	74.55739886	6.602978925	1.764720348
PHS	Triplet	Viability	NA	NA	NA	NA	NA	NA	78.15044885	8.589717757	2.024615891
PcGCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	85.36652305	7.008786083	1.873176873
PLH	Triplet	Viability	NA	NA	NA	NA	NA	NA	71.47509679	10.36770271	2.443690965
PZS	Triplet	Viability	NA	NA	NA	NA	NA	NA	40.71205849	13.95182064	3.288475661
PHZ	Triplet	Viability	NA	NA	NA	NA	NA	NA	44.05433139	7.977107908	1.880222365
HSCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	82.52662787	8.66486887	2.315783615
LZS	Triplet	Viability	NA	NA	NA	NA	NA	NA	68.7716912	9.1178762	2.14910403
PScG	Triplet	Viability	NA	NA	NA	NA	NA	NA	71.38399619	11.24510299	2.650496194
HcGCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	83.21458444	10.09409536	2.697760463
PHCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	75.75889414	8.318502069	2.223213194
PZCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	70.53193078	9.006222184	2.407014126
PLcG	Triplet	Viability	NA	NA	NA	NA	NA	NA	74.14614647	7.753385616	1.827490515
LHZ	Triplet	Viability	NA	NA	NA	NA	NA	NA	79.91682165	6.388442698	1.505770384
LZcG	Triplet	Viability	NA	NA	NA	NA	NA	NA	67.82576912	7.943002019	1.87218353
ZSCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	59.43788686	10.54404797	2.818015355
PHcG	Triplet	Viability	NA	NA	NA	NA	NA	NA	67.64858514	10.79691387	2.544857003
PZcG	Triplet	Viability	NA	NA	NA	NA	NA	NA	39.39770351	6.512184423	1.534936589
ZcGCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	62.2094676	9.833596749	2.62813928
HScG	Triplet	Viability	NA	NA	NA	NA	NA	NA	83.88599946	4.580158257	1.079553654
HZCp	Triplet	Viability	NA	NA	NA	NA	NA	NA	67.29037921	8.895061101	2.377305077
HZS	Triplet	Viability	NA	NA	NA	NA	NA	NA	69.92133289	7.691642339	1.812937486
ZScG	Triplet	Viability	NA	NA	NA	NA	NA	NA	66.02559582	6.886620673	1.623192059
HZcG	Triplet	Viability	NA	NA	NA	NA	NA	NA	73.74343476	5.064526321	1.193720302
