Sample	Screen_ID	Technical_rep	Screen_rep_ID	Treatment	Treatment_ID	Treatment_type	Nb_of_ligands	Ligand_conc	Layout_ID	Plate_ID	Well_ID_culture	Well_ID_fcs	Live_cells	Viability	Peak_0	Peak_1	Peak_2	Peak_3	Peak_4	Peak_5	Peak_6	cell_total	cell_start	cell_activated	divisions	PI	PI_norm	PI_1	PI_2	PI_3	PI_12	PI_13	PI_23	PI_123	PI_isserlis
E8_HcG_full_rep1	8	1	s8_full_rep1	HcG	HcG_1	Pair	6	full	4	1	G8	C6	15344	90.25882353	11995	311	738	992	950	391	0	15377	12530.59375	535.59375	1195.09375	2.231343719	0.91340543	NA	NA	NA	NA	NA	NA	NA	NA
E8_ZS_full_rep1	8	1	s8_full_rep1	ZS	ZS_1	Pair	6	full	4	1	B7	D1	19802	71.44609612	9516	1194	2558	3415	2156	651	110	19600	11336.1875	1820.1875	3807.65625	2.091903307	0.856325192	NA	NA	NA	NA	NA	NA	NA	NA
E8_ZcG_full_rep1	8	1	s8_full_rep1	ZcG	ZcG_1	Pair	6	full	4	1	C7	D2	26811	78.71234807	11707	1138	2809	4488	4323	1818	263	26546	13870.35938	2163.359375	5045.96875	2.332469033	0.954801299	NA	NA	NA	NA	NA	NA	NA	NA
E8_ScG_full_rep1	8	1	s8_full_rep1	ScG	ScG_1	Pair	6	full	4	1	D7	D3	15977	91.30757801	9430	736	1425	2294	1547	495	35	15962	10553.70313	1123.703125	2408.125	2.143025988	0.877252374	NA	NA	NA	NA	NA	NA	NA	NA
E8_PLH_full_rep1	8	1	s8_full_rep1	PLH	PLH_1	Triplet	6	full	4	1	E7	D4	4790	66.90878614	4650	126	15	0	0	0	0	4791	4716.75	66.75	70.5	1.056179775	0.4323495	0.807911006	0.996283839	0.665177354	0.798225468	0.7547917	0.995055933	0.4323495	1.016050867
E8_PLZ_full_rep1	8	1	s8_full_rep1	PLZ	PLZ_1	Triplet	6	full	4	1	F7	D5	15328	62.48675092	10159	1592	1754	1199	422	81	54	15261	11573.125	1414.125	2245.84375	1.5881508	0.650113002	0.807911006	0.996283839	0.833266519	0.798225468	0.782811266	1	0.650113002	0.911540871
E8_PLS_full_rep1	8	1	s8_full_rep1	PLS	PLS_1	Triplet	6	full	4	1	G7	D6	9111	67.35418053	5456	1248	1074	816	488	47	21	9150	6482.796875	1026.796875	1598.3125	1.556600472	0.637197807	0.807911006	0.996283839	0.841561602	0.798225468	0.762698155	0.914537564	0.637197807	0.815724239
E8_PLcG_full_rep1	8	1	s8_full_rep1	PLcG	PLcG_1	Triplet	6	full	4	1	B6	E1	12018	76.68942633	8588	1361	1025	659	236	27	49	11945	9623.484375	1035.484375	1507.9375	1.45626292	0.596124411	0.807911006	0.996283839	0.667993117	0.798225468	0.798931989	0.74304706	0.596124411	0.854141131
E8_PHZ_full_rep1	8	1	s8_full_rep1	PHZ	PHZ_1	Triplet	6	full	4	1	C6	E2	9312	48.54551142	7723	888	504	115	38	2	1	9271	8309.828125	586.828125	749.03125	1.276406529	0.522499803	0.807911006	0.665177354	0.833266519	0.7547917	0.782811266	0.935033571	0.522499803	1.009473196
E8_PHS_full_rep1	8	1	s8_full_rep1	PHS	PHS_1	Triplet	6	full	4	1	D6	E3	4195	69.8817258	3952	140	25	47	10	1	0	4175	4034.78125	82.78125	102.78125	1.241600604	0.508251922	0.807911006	0.665177354	0.841561602	0.7547917	0.762698155	0.909171678	0.508251922	0.972545738
E8_PHcG_full_rep1	8	1	s8_full_rep1	PHcG	PHcG_1	Triplet	6	full	4	1	E6	E4	6191	59.90324141	5580	355	136	35	17	0	0	6123	5796.9375	216.9375	262.875	1.211754538	0.496034369	0.807911006	0.665177354	0.667993117	0.7547917	0.798931989	0.91340543	0.496034369	1.05561294
E8_PZS_full_rep1	8	1	s8_full_rep1	PZS	PZS_1	Triplet	6	full	4	1	F6	E5	10519	45.84640865	5524	1539	1520	1260	396	57	26	10322	6857.9375	1333.9375	2112.34375	1.583540271	0.648225672	0.807911006	0.833266519	0.841561602	0.782811266	0.762698155	0.856325192	0.648225672	0.853062008
E8_PZcG_full_rep1	8	1	s8_full_rep1	PZcG	PZcG_1	Triplet	6	full	4	1	G6	E6	13971	50.54082408	6832	1182	1803	2147	1538	357	48	13907	8250.15625	1418.15625	2742.40625	1.933782861	0.791598242	0.807911006	0.833266519	0.667993117	0.782811266	0.798931989	0.954801299	0.791598242	1.060637424
E8_PScG_full_rep1	8	1	s8_full_rep1	PScG	PScG_1	Triplet	6	full	4	1	B5	F1	10664	75.36928405	6576	1684	1360	665	215	44	33	10577	7856.453125	1280.453125	1835.09375	1.433159648	0.586667035	0.807911006	0.841561602	0.667993117	0.762698155	0.798931989	0.877252374	0.586667035	0.982223218
E8_LHZ_full_rep1	8	1	s8_full_rep1	LHZ	LHZ_1	Triplet	6	full	4	1	C5	F2	28017	81.40690377	11715	1271	2899	5108	4490	2347	350	28180	14073.1875	2358.1875	5522.53125	2.341854178	0.958643128	0.996283839	0.665177354	0.833266519	0.995055933	1	0.935033571	0.958643128	1.32146246
E8_LHS_full_rep1	8	1	s8_full_rep1	LHS	LHS_1	Triplet	6	full	4	1	D5	F3	21228	90.29349213	7546	2214	3259	3874	3249	1095	145	21382	10191.54688	2645.546875	5186.1875	1.9603461	0.802471962	0.996283839	0.665177354	0.841561602	0.995055933	0.914537564	0.909171678	0.802471962	1.236108675
E8_LHcG_full_rep1	8	1	s8_full_rep1	LHcG	LHcG_1	Triplet	6	full	4	1	E5	F4	24840	88.16639455	9476	1544	2875	4648	4392	1691	351	24977	11880.57813	2404.578125	5347.625	2.223934812	0.910372578	0.996283839	0.665177354	0.667993117	0.995055933	0.74304706	0.91340543	0.910372578	1.183594304
E8_LZS_full_rep1	8	1	s8_full_rep1	LZS	LZS_1	Triplet	6	full	4	1	F5	F5	21045	67.36987003	6748	2116	3668	4448	2946	1174	139	21239	9501.984375	2753.984375	5492.96875	1.994553346	0.816474773	0.996283839	0.833266519	0.841561602	1	0.914537564	0.856325192	0.816474773	1.05947975
E8_LZcG_full_rep1	8	1	s8_full_rep1	LZcG	LZcG_1	Triplet	6	full	4	1	G5	F6	24956	70.75902351	8919	1766	3250	4961	4407	1586	273	25162	11563.89063	2644.890625	5743.53125	2.171557189	0.888931683	0.996283839	0.833266519	0.667993117	1	0.74304706	0.954801299	0.888931683	1.129306811
E8_LScG_full_rep1	8	1	s8_full_rep1	LScG	LScG_1	Triplet	6	full	4	1	B4	G1	22884	86.76069154	6007	3488	4410	4489	3152	1049	141	22736	9646.609375	3639.609375	6597.5	1.812694529	0.742030469	0.996283839	0.841561602	0.667993117	0.914537564	0.74304706	0.877252374	0.742030469	0.990080454
E8_HZS_full_rep1	8	1	s8_full_rep1	HZS	HZS_1	Triplet	6	full	4	1	C4	G2	18607	70.88110929	8644	1028	2214	2974	2749	822	119	18550	10282.60938	1638.609375	3563.09375	2.174461958	0.890120757	0.665177354	0.833266519	0.841561602	0.935033571	0.909171678	0.856325192	0.890120757	1.181174066
E8_HZcG_full_rep1	8	1	s8_full_rep1	HZcG	HZcG_1	Triplet	6	full	4	1	D4	G3	20671	70.87119004	11670	813	1664	2951	2632	992	142	20864	13059.09375	1389.09375	3171.4375	2.283098243	0.934591258	0.665177354	0.833266519	0.667993117	0.935033571	0.91340543	0.954801299	0.934591258	1.28032124
E8_HScG_full_rep1	8	1	s8_full_rep1	HScG	HScG_1	Triplet	6	full	4	1	E4	G4	15899	82.05511974	7813	761	1812	2685	1896	833	104	15904	9128.28125	1315.28125	2907.28125	2.210387512	0.904826961	0.665177354	0.841561602	0.667993117	0.909171678	0.91340543	0.877252374	0.904826961	1.211667086
E8_ZScG_full_rep1	8	1	s8_full_rep1	ZScG	ZScG_1	Triplet	6	full	4	1	F4	G5	20734	66.9637955	8925	975	2286	3913	3112	1340	219	20770	10712.92188	1787.921875	4105.78125	2.296398577	0.940035779	0.833266519	0.841561602	0.667993117	0.856325192	0.954801299	0.877252374	0.940035779	1.169674668
E8_P_full_rep2	8	2	s8_full_rep2	P	P_2	Single	6	full	4	1	B10	A7	25567	92.87971809	17191	1052	1748	1818	1819	1062	366	25056	18533.84375	1342.84375	2736.75	2.038025645	0.820147435	NA	NA	NA	NA	NA	NA	NA	NA
E8_L_full_rep2	8	2	s8_full_rep2	L	L_2	Single	6	full	4	1	C10	A8	29539	93.47489004	16852	961	1099	2555	4406	2812	802	29487	18302.40625	1450.40625	3604.1875	2.484950337	1	NA	NA	NA	NA	NA	NA	NA	NA
E8_H_full_rep2	8	2	s8_full_rep2	H	H_2	Single	6	full	4	1	D10	A9	8419	84.46874686	8151	96	79	35	12	1	2	8376	8223.9375	72.9375	103.96875	1.425449871	0.573633143	NA	NA	NA	NA	NA	NA	NA	NA
E8_Z_full_rep2	8	2	s8_full_rep2	Z	Z_2	Single	6	full	4	1	E10	A10	14759	75.63287896	10976	434	688	918	802	561	212	14591	11550.71875	574.71875	1213.28125	2.111086945	0.849548948	NA	NA	NA	NA	NA	NA	NA	NA
E8_S_full_rep2	8	2	s8_full_rep2	S	S_2	Single	6	full	4	1	F10	A11	11122	85.72529675	9049	234	680	748	246	143	0	11100	9449.34375	400.34375	821.34375	2.051596284	0.825608566	NA	NA	NA	NA	NA	NA	NA	NA
E8_cG_full_rep2	8	2	s8_full_rep2	cG	cG_2	Single	6	full	4	1	G10	A12	15699	91.00342009	12558	278	650	722	854	514	71	15647	13020.29688	462.296875	1035.21875	2.239294285	0.90114247	NA	NA	NA	NA	NA	NA	NA	NA
E8_PL_full_rep2	8	2	s8_full_rep2	PL	PL_2	Pair	6	full	4	1	B9	B7	18233	94.89928694	10353	1693	2711	2438	924	133	0	18252	12243.90625	1890.90625	3368.03125	1.781173049	0.716784163	NA	NA	NA	NA	NA	NA	NA	NA
E8_PH_full_rep2	8	2	s8_full_rep2	PH	PH_2	Pair	6	full	4	1	C9	B8	8253	82.25034881	6649	566	490	386	104	43	1	8239	7110.609375	461.609375	705.5625	1.528483905	0.615096359	NA	NA	NA	NA	NA	NA	NA	NA
E8_PZ_full_rep2	8	2	s8_full_rep2	PZ	PZ_2	Pair	6	full	4	1	D9	B9	22106	73.45406214	12670	1662	3370	2607	1105	291	47	21752	14748.26563	2078.265625	3819.75	1.837950815	0.739632816	NA	NA	NA	NA	NA	NA	NA	NA
E8_PS_full_rep2	8	2	s8_full_rep2	PS	PS_2	Pair	6	full	4	1	E9	B10	6379	75.53582001	4466	975	612	225	48	0	0	6326	5137.625	671.625	889.875	1.324958124	0.533193	NA	NA	NA	NA	NA	NA	NA	NA
E8_PcG_full_rep2	8	2	s8_full_rep2	PcG	PcG_2	Pair	6	full	4	1	F9	B11	17757	90.48613942	7590	2215	3198	3078	1096	198	33	17408	9956.953125	2366.953125	4168.78125	1.761243687	0.70876414	NA	NA	NA	NA	NA	NA	NA	NA
E8_LH_full_rep2	8	2	s8_full_rep2	LH	LH_2	Pair	6	full	4	1	G9	B12	22887	94.17743396	11021	785	1897	3479	3724	1715	274	22895	12613.25	1592.25	3870.28125	2.430699482	0.978168234	NA	NA	NA	NA	NA	NA	NA	NA
E8_LZ_full_rep2	8	2	s8_full_rep2	LZ	LZ_2	Pair	6	full	4	1	B8	C7	35396	88.05851328	13415	1436	3366	6018	7357	3449	518	35559	16302.4375	2887.4375	7084.46875	2.453548778	0.987363305	NA	NA	NA	NA	NA	NA	NA	NA
E8_LS_full_rep2	8	2	s8_full_rep2	LS	LS_2	Pair	6	full	4	1	C8	C8	19597	92.99577659	5670	2481	3473	4151	2890	1373	136	20174	8523.28125	2853.28125	5483.40625	1.921789606	0.773371434	NA	NA	NA	NA	NA	NA	NA	NA
E8_LcG_full_rep2	8	2	s8_full_rep2	LcG	LcG_2	Pair	6	full	4	1	D8	C9	26500	93.4513524	8388	2536	4450	5527	3971	1668	146	26686	11761.96875	3373.96875	6832.6875	2.025118786	0.814953424	NA	NA	NA	NA	NA	NA	NA	NA
E8_HZ_full_rep2	8	2	s8_full_rep2	HZ	HZ_2	Pair	6	full	4	1	E8	C10	22784	91.33327988	13370	622	1251	2824	2850	996	486	22399	14563.59375	1193.59375	2909.1875	2.43733473	0.980838407	NA	NA	NA	NA	NA	NA	NA	NA
E8_HS_full_rep2	8	2	s8_full_rep2	HS	HS_2	Pair	6	full	4	1	F8	C11	13746	90.48778882	7402	767	1105	2337	1582	579	100	13872	8472.40625	1070.40625	2307.71875	2.155927948	0.867593978	NA	NA	NA	NA	NA	NA	NA	NA
E8_HcG_full_rep2	8	2	s8_full_rep2	HcG	HcG_2	Pair	6	full	4	1	G8	C12	13645	89.80518626	10532	314	561	1033	811	228	66	13545	11017.21875	485.21875	1069.4375	2.204031687	0.886952006	NA	NA	NA	NA	NA	NA	NA	NA
E8_ZS_full_rep2	8	2	s8_full_rep2	ZS	ZS_2	Pair	6	full	4	1	B7	D7	18822	74.90150822	8187	1104	2506	3469	2568	803	76	18713	9985.90625	1798.90625	3880.46875	2.157126726	0.868076393	NA	NA	NA	NA	NA	NA	NA	NA
E8_ZcG_full_rep2	8	2	s8_full_rep2	ZcG	ZcG_2	Pair	6	full	4	1	C7	D8	26023	82.42691077	10056	1030	2744	5185	4695	1844	292	25846	12260.75	2204.75	5320.625	2.413255471	0.971148371	NA	NA	NA	NA	NA	NA	NA	NA
E8_ScG_full_rep2	8	2	s8_full_rep2	ScG	ScG_2	Pair	6	full	4	1	D7	D9	13950	91.70391796	6985	707	1248	2405	1830	616	101	13892	8086.328125	1101.328125	2442.59375	2.217861956	0.892517618	NA	NA	NA	NA	NA	NA	NA	NA
E8_PLH_full_rep2	8	2	s8_full_rep2	PLH	PLH_2	Triplet	6	full	4	1	E7	D10	4018	77.86821705	3973	38	8	0	1	0	0	4020	3994.0625	21.0625	23.25	1.103857567	0.444217154	0.820147435	1	0.573633143	0.716784163	0.615096359	0.978168234	0.444217154	0.887582178
E8_PLZ_full_rep2	8	2	s8_full_rep2	PLZ	PLZ_2	Triplet	6	full	4	1	F7	D11	12285	60.07922535	9271	1290	1012	539	123	32	21	12288	10245.39063	974.390625	1390.84375	1.427398534	0.574417329	0.820147435	1	0.849548948	0.716784163	0.739632816	0.987363305	0.574417329	0.764848748
E8_PLS_full_rep2	8	2	s8_full_rep2	PLS	PLS_2	Triplet	6	full	4	1	G7	D12	5949	60.3346856	4803	458	394	199	61	15	0	5930	5159.65625	356.65625	518.21875	1.452992202	0.584716797	0.820147435	1	0.825608566	0.716784163	0.533193	0.773371434	0.584716797	0.405013247
E8_PLcG_full_rep2	8	2	s8_full_rep2	PLcG	PLcG_2	Triplet	6	full	4	1	B6	E7	10429	80.46447033	7298	1439	941	550	208	58	37	10531	8336.890625	1038.890625	1460.78125	1.406097249	0.565845212	0.820147435	1	0.90114247	0.716784163	0.70876414	0.814953424	0.565845212	0.544931381
E8_PHZ_full_rep2	8	2	s8_full_rep2	PHZ	PHZ_2	Triplet	6	full	4	1	C6	E8	6737	39.43686706	6185	423	66	29	20	0	1	6724	6417.890625	232.890625	260.46875	1.118416639	0.450076053	0.820147435	0.573633143	0.849548948	0.615096359	0.739632816	0.980838407	0.450076053	0.951900496
E8_PHS_full_rep2	8	2	s8_full_rep2	PHS	PHS_2	Triplet	6	full	4	1	D6	E9	4151	66.97321717	3925	173	17	0	0	1	0	4116	4015.78125	90.78125	95.15625	1.048192771	0.421816386	0.820147435	0.573633143	0.825608566	0.615096359	0.533193	0.867593978	0.421816386	0.74840317
E8_PHcG_full_rep2	8	2	s8_full_rep2	PHcG	PHcG_2	Triplet	6	full	4	1	E6	E10	4047	52.52433485	4022	21	0	0	1	0	0	4044	4032.5625	10.5625	10.75	1.017751479	0.409566125	0.820147435	0.573633143	0.90114247	0.615096359	0.70876414	0.886952006	0.409566125	0.840381733
E8_PZS_full_rep2	8	2	s8_full_rep2	PZS	PZS_2	Triplet	6	full	4	1	F6	E11	5190	31.91489362	4769	298	83	16	0	0	0	5166	4940.75	171.75	196.5	1.144104803	0.460413549	0.820147435	0.849548948	0.825608566	0.739632816	0.533193	0.868076393	0.460413549	0.62507693
E8_PZcG_full_rep2	8	2	s8_full_rep2	PZcG	PZcG_2	Triplet	6	full	4	1	G6	E12	9273	41.4472802	5115	953	1032	1142	778	231	48	9299	6048.84375	933.84375	1655.84375	1.773148613	0.71355495	0.820147435	0.849548948	0.90114247	0.739632816	0.70876414	0.971148371	0.71355495	0.80937747
E8_PScG_full_rep2	8	2	s8_full_rep2	PScG	PScG_2	Triplet	6	full	4	1	B5	F7	7029	68.55554472	5087	1017	547	249	26	18	0	6944	5765.5625	678.5625	884.6875	1.303767155	0.524665276	0.820147435	0.825608566	0.90114247	0.533193	0.70876414	0.892517618	0.524665276	0.577276111
E8_LHZ_full_rep2	8	2	s8_full_rep2	LHZ	LHZ_2	Triplet	6	full	4	1	C5	F8	26302	79.61376638	10212	1336	3075	5092	4307	2149	327	26498	12626.70313	2414.703125	5558.1875	2.301809876	0.926300152	1	0.573633143	0.849548948	0.978168234	0.987363305	0.980838407	0.926300152	1.403565651
E8_LHS_full_rep2	8	2	s8_full_rep2	LHS	LHS_2	Triplet	6	full	4	1	D5	F9	17319	91.50903519	5398	2107	3089	3279	2815	769	88	17545	7834.96875	2436.96875	4659.78125	1.912121873	0.76948092	1	0.573633143	0.825608566	0.978168234	0.773371434	0.867593978	0.76948092	1.171616664
E8_LHcG_full_rep2	8	2	s8_full_rep2	LHcG	LHcG_2	Triplet	6	full	4	1	E5	F10	16065	83.51528384	7586	2345	2722	2183	1044	236	37	16153	9785.078125	2199.078125	3653.46875	1.661363782	0.668570215	1	0.573633143	0.90114247	0.978168234	0.814953424	0.886952006	0.668570215	1.202054864
E8_LZS_full_rep2	8	2	s8_full_rep2	LZS	LZS_2	Triplet	6	full	4	1	F5	F11	22937	70.74735511	5814	1913	3996	5720	3976	1371	89	22879	8777.234375	2963.234375	6316.0625	2.131475847	0.857753902	1	0.849548948	0.825608566	0.987363305	0.773371434	0.868076393	0.857753902	0.937479106
E8_LZcG_full_rep2	8	2	s8_full_rep2	LZcG	LZcG_2	Triplet	6	full	4	1	G5	F12	23679	70.50049126	7529	1304	3331	4835	4698	1796	239	23732	9971.609375	2442.609375	5608.15625	2.295969346	0.923949792	1	0.849548948	0.90114247	0.987363305	0.814953424	0.971148371	0.923949792	1.022116928
E8_LScG_full_rep2	8	2	s8_full_rep2	LScG	LScG_2	Triplet	6	full	4	1	B4	G7	20146	84.24706227	5756	2253	3511	4004	3240	1148	104	20016	8500.75	2744.75	5382.625	1.961062028	0.789175541	1	0.825608566	0.90114247	0.773371434	0.814953424	0.892517618	0.789175541	0.774286105
E8_HZS_full_rep2	8	2	s8_full_rep2	HZS	HZS_2	Triplet	6	full	4	1	C4	G8	16589	72.06968459	7643	1101	1923	3139	2089	516	108	16519	9215	1572	3302.125	2.100588422	0.845324106	0.573633143	0.849548948	0.825608566	0.980838407	0.867593978	0.868076393	0.845324106	1.240122823
E8_HZcG_full_rep2	8	2	s8_full_rep2	HZcG	HZcG_2	Triplet	6	full	4	1	D4	G9	18103	69.41866708	9781	794	1834	2747	2198	579	73	18006	11136.48438	1355.484375	2990.9375	2.20654517	0.887963488	0.573633143	0.849548948	0.90114247	0.980838407	0.886952006	0.971148371	0.887963488	1.316160683
E8_HScG_full_rep2	8	2	s8_full_rep2	HScG	HScG_2	Triplet	6	full	4	1	E4	G10	20156	81.78867067	7703	1166	2202	3781	3374	1449	163	19838	9567.828125	1864.828125	4187.0625	2.245280648	0.903551517	0.573633143	0.825608566	0.90114247	0.867593978	0.886952006	0.892517618	0.903551517	1.172522915
E8_ZScG_full_rep2	8	2	s8_full_rep2	ZScG	ZScG_2	Triplet	6	full	4	1	F4	G11	20029	69.30689643	6862	1285	3064	4193	3802	930	90	20226	9062.71875	2200.71875	4851.125	2.204336651	0.887074731	0.849548948	0.825608566	0.90114247	0.868076393	0.971148371	0.892517618	0.887074731	1.078172877
E9_P_full_rep1	9	1	s9_full_rep1	P	P_1	Single	6	full	4	1	B10	A1	21488	92.92108108	8667	1394	2187	3126	3548	1982	526	21430	10593.40625	1926.40625	4208.75	2.184767621	0.796681189	NA	NA	NA	NA	NA	NA	NA	NA
E9_L_full_rep1	9	1	s9_full_rep1	L	L_1	Single	6	full	4	1	C10	A2	42479	96.21081718	16727	1379	1853	4025	6426	7825	4239	42474	19095.26563	2368.265625	6351.9375	2.68210518	0.978036622	NA	NA	NA	NA	NA	NA	NA	NA
E9_H_full_rep1	9	1	s9_full_rep1	H	H_1	Single	6	full	4	1	D10	A3	14144	85.31274504	12458	247	235	385	440	289	69	14123	12725.98438	267.984375	547	2.041163781	0.744315676	NA	NA	NA	NA	NA	NA	NA	NA
E9_Z_full_rep1	9	1	s9_full_rep1	Z	Z_1	Single	6	full	4	1	E10	A4	23291	81.32048462	13403	819	1069	1957	2574	2145	1206	23173	14571.125	1168.125	2769.59375	2.370973783	0.86458175	NA	NA	NA	NA	NA	NA	NA	NA
E9_S_full_rep1	9	1	s9_full_rep1	S	S_1	Single	6	full	4	1	F10	A5	16137	88.23336432	10018	376	1181	1564	1658	806	156	15759	10828	810	1920.0625	2.370447531	0.864389851	NA	NA	NA	NA	NA	NA	NA	NA
E9_cG_full_rep1	9	1	s9_full_rep1	cG	cG_1	Single	6	full	4	1	G10	A6	16646	92.2829582	12599	494	562	1084	984	716	181	16620	13208.70313	609.703125	1309.34375	2.147510315	0.783095216	NA	NA	NA	NA	NA	NA	NA	NA
E9_PL_full_rep1	9	1	s9_full_rep1	PL	PL_1	Pair	6	full	4	1	B9	B1	10331	80.18472524	7465	1204	960	410	109	77	45	10270	8368.171875	903.171875	1279.25	1.416397073	0.516492872	NA	NA	NA	NA	NA	NA	NA	NA
E9_PH_full_rep1	9	1	s9_full_rep1	PH	PH_1	Pair	6	full	4	1	C9	B2	5154	57.23486952	5019	99	19	1	1	1	1	5141	5073.484375	54.484375	59.875	1.098938916	0.400730931	NA	NA	NA	NA	NA	NA	NA	NA
E9_PZ_full_rep1	9	1	s9_full_rep1	PZ	PZ_1	Pair	6	full	4	1	D9	B3	13566	52.92809489	10122	1679	1384	395	108	0	0	13688	11363.625	1241.625	1706.625	1.374509212	0.501218355	NA	NA	NA	NA	NA	NA	NA	NA
E9_PS_full_rep1	9	1	s9_full_rep1	PS	PS_1	Pair	6	full	4	1	E9	B4	5731	53.72644605	4757	574	266	83	41	0	0	5721	5123.4375	366.4375	461.375	1.259082381	0.459127661	NA	NA	NA	NA	NA	NA	NA	NA
E9_PcG_full_rep1	9	1	s9_full_rep1	PcG	PcG_1	Pair	6	full	4	1	F9	B5	9597	77.14010128	7769	1013	607	180	51	0	0	9620	8452.9375	683.9375	890.25	1.301654025	0.474651522	NA	NA	NA	NA	NA	NA	NA	NA
